장기요양기관코드,기관유형코드,기관유형명,정원,현원,
11111000006,A03,노인요양시설(개정법),38 ,35 ,
11111000033,A04,노인요양공동생활가정,9 ,8 ,
11111000056,A03,노인요양시설(개정법),42 ,37 ,
11111000060,A03,노인요양시설(개정법),68 ,68 ,
11111000068,A03,노인요양시설(개정법),38 ,37 ,
11111000076,A03,노인요양시설(개정법),38 ,36 ,
11111000078,A03,노인요양시설(개정법),23 ,21 ,
11111000087,A03,노인요양시설(개정법),77 ,74 ,
11111000088,A04,노인요양공동생활가정,9 ,8 ,
11111000135,A03,노인요양시설(개정법),58 ,58 ,
11114000030,A03,노인요양시설(개정법),14 ,14 ,
11114000040,A03,노인요양시설(개정법),60 ,60 ,
11114000043,A04,노인요양공동생활가정,9 ,7 ,
11117000054,A03,노인요양시설(개정법),91 ,91 ,
11117000092,A03,노인요양시설(개정법),81 ,80 ,
11120000010,A03,노인요양시설(개정법),232 ,228 ,
11120000010,G31,치매전담실가형1실,16 ,16 ,
11120000010,G32,치매전담실가형2실,16 ,16 ,
11120000010,G33,치매전담실가형3실,16 ,16 ,
11120000010,G34,치매전담실가형4실,16 ,16 ,
11120000056,A04,노인요양공동생활가정,9 ,10 ,
11120000065,A03,노인요양시설(개정법),46 ,35 ,
11120000093,A03,노인요양시설(개정법),49 ,20 ,
11120000110,A04,노인요양공동생활가정,9 ,8 ,
11120000126,A04,노인요양공동생활가정,9 ,9 ,
11120000180,A03,노인요양시설(개정법),48 ,48 ,
11120000190,A04,노인요양공동생활가정,9 ,9 ,
11121500005,A03,노인요양시설(개정법),29 ,28 ,
11121500009,A04,노인요양공동생활가정,9 ,9 ,
11121500093,A04,노인요양공동생활가정,9 ,8 ,
11121500095,A04,노인요양공동생활가정,9 ,9 ,
11121500101,A03,노인요양시설(개정법),93 ,90 ,
11121500112,A04,노인요양공동생활가정,9 ,8 ,
11121500118,A03,노인요양시설(개정법),39 ,32 ,
11121500142,A03,노인요양시설(개정법),122 ,119 ,
11121500148,A03,노인요양시설(개정법),15 ,15 ,
11121500196,A04,노인요양공동생활가정,9 ,9 ,
11121500252,A04,노인요양공동생활가정,9 ,8 ,
11121500254,A04,노인요양공동생활가정,9 ,8 ,
11121500260,A04,노인요양공동생활가정,9 ,8 ,
11121500268,A03,노인요양시설(개정법),78 ,77 ,
11121500269,A03,노인요양시설(개정법),39 ,39 ,
11121500271,A04,노인요양공동생활가정,9 ,9 ,
11121500282,A04,노인요양공동생활가정,9 ,9 ,
11121500294,A03,노인요양시설(개정법),74 ,74 ,
11121500303,A04,노인요양공동생활가정,9 ,9 ,
11123000008,A03,노인요양시설(개정법),120 ,120 ,
11123000009,A03,노인요양시설(개정법),46 ,46 ,
11123000022,A03,노인요양시설(개정법),29 ,30 ,
11123000061,A04,노인요양공동생활가정,9 ,6 ,
11123000090,A04,노인요양공동생활가정,9 ,8 ,
11123000113,A03,노인요양시설(개정법),29 ,19 ,
11123000241,A04,노인요양공동생활가정,9 ,9 ,
11123000284,A04,노인요양공동생활가정,9 ,9 ,
11123000285,A04,노인요양공동생활가정,9 ,9 ,
11123000292,A04,노인요양공동생활가정,9 ,9 ,
11123000303,A04,노인요양공동생활가정,9 ,9 ,
11123000307,A04,노인요양공동생활가정,9 ,9 ,
11123000332,A04,노인요양공동생활가정,9 ,8 ,
11123000340,A04,노인요양공동생활가정,9 ,8 ,
11123000347,A04,노인요양공동생활가정,9 ,9 ,
11123000371,A04,노인요양공동생활가정,9 ,9 ,
11123000373,A04,노인요양공동생활가정,9 ,9 ,
11123000375,A04,노인요양공동생활가정,9 ,6 ,
11123000376,A04,노인요양공동생활가정,9 ,7 ,
11123000377,A04,노인요양공동생활가정,9 ,9 ,
11123000381,A03,노인요양시설(개정법),77 ,25 ,
11123000383,A03,노인요양시설(개정법),47 ,46 ,
11123000387,A03,노인요양시설(개정법),25 ,25 ,
11126000011,A03,노인요양시설(개정법),200 ,175 ,
11126000036,A04,노인요양공동생활가정,9 ,10 ,
11126000074,A04,노인요양공동생활가정,9 ,8 ,
11126000111,A03,노인요양시설(개정법),87 ,86 ,
11126000113,A04,노인요양공동생활가정,9 ,9 ,
11126000118,A04,노인요양공동생활가정,9 ,9 ,
11126000119,A04,노인요양공동생활가정,9 ,9 ,
11126000162,A03,노인요양시설(개정법),36 ,22 ,
11126000163,A04,노인요양공동생활가정,9 ,8 ,
11126000164,A04,노인요양공동생활가정,9 ,6 ,
11126000218,A04,노인요양공동생활가정,9 ,9 ,
11126000230,A04,노인요양공동생활가정,9 ,9 ,
11126000231,A04,노인요양공동생활가정,9 ,9 ,
11126000232,A04,노인요양공동생활가정,9 ,9 ,
11126000234,A04,노인요양공동생활가정,9 ,9 ,
11126000253,A04,노인요양공동생활가정,9 ,6 ,
11126000254,A04,노인요양공동생활가정,9 ,5 ,
11126000271,A03,노인요양시설(개정법),194 ,194 ,
11126000271,G31,치매전담실가형1실,16 ,16 ,
11126000271,G32,치매전담실가형2실,16 ,16 ,
11126000287,A03,노인요양시설(개정법),54 ,51 ,
11126000291,A04,노인요양공동생활가정,9 ,9 ,
11126000292,A04,노인요양공동생활가정,9 ,9 ,
11126000300,A04,노인요양공동생활가정,9 ,9 ,
11126000315,A04,노인요양공동생활가정,9 ,9 ,
11126000316,A04,노인요양공동생활가정,9 ,8 ,
11126000322,A03,노인요양시설(개정법),37 ,34 ,
11126000326,A04,노인요양공동생활가정,9 ,9 ,
11126000333,A04,노인요양공동생활가정,9 ,9 ,
11126000336,A04,노인요양공동생활가정,9 ,9 ,
11126000342,A04,노인요양공동생활가정,9 ,9 ,
11126000361,A04,노인요양공동생활가정,9 ,6 ,
11126000362,A04,노인요양공동생활가정,9 ,7 ,
11126000438,A04,노인요양공동생활가정,9 ,9 ,
11126000442,A03,노인요양시설(개정법),94 ,92 ,
11126000446,A03,노인요양시설(개정법),29 ,25 ,
11126000450,A03,노인요양시설(개정법),25 ,25 ,
11126000468,A03,노인요양시설(개정법),48 ,48 ,
11126000472,A04,노인요양공동생활가정,9 ,9 ,
11126000476,A04,노인요양공동생활가정,9 ,9 ,
11126000483,A04,노인요양공동생활가정,9 ,9 ,
11126000487,A04,노인요양공동생활가정,9 ,9 ,
11126000488,A04,노인요양공동생활가정,9 ,9 ,
11126000508,A04,노인요양공동생활가정,9 ,9 ,
11126000509,A04,노인요양공동생활가정,9 ,9 ,
11126000510,A04,노인요양공동생활가정,9 ,9 ,
11126000525,A03,노인요양시설(개정법),19 ,17 ,
11126000530,A04,노인요양공동생활가정,9 ,9 ,
11126000554,A04,노인요양공동생활가정,9 ,9 ,
11126000567,A04,노인요양공동생활가정,9 ,9 ,
11126000568,A04,노인요양공동생활가정,9 ,9 ,
11129000018,A03,노인요양시설(개정법),23 ,16 ,
11129000020,A03,노인요양시설(개정법),114 ,71 ,
11129000078,A03,노인요양시설(개정법),120 ,120 ,
11129000100,A03,노인요양시설(개정법),60 ,57 ,
11129000104,A03,노인요양시설(개정법),29 ,29 ,
11129000115,A03,노인요양시설(개정법),110 ,107 ,
11129000139,A04,노인요양공동생활가정,9 ,7 ,
11129000149,A03,노인요양시설(개정법),49 ,42 ,
11129000169,A03,노인요양시설(개정법),36 ,24 ,
11129000170,A03,노인요양시설(개정법),29 ,29 ,
11129000192,A04,노인요양공동생활가정,6 ,6 ,
11129000215,A03,노인요양시설(개정법),15 ,14 ,
11129000216,A03,노인요양시설(개정법),20 ,16 ,
11129000227,A03,노인요양시설(개정법),29 ,27 ,
11129000231,A04,노인요양공동생활가정,9 ,8 ,
11129000250,A03,노인요양시설(개정법),68 ,39 ,
11129000273,A04,노인요양공동생활가정,9 ,7 ,
