지역,시도,시군구,노인인구수,치매환자수,기관수,총정원,총현원,노인대비_치매비율,노인대비_치매비율(%),정원차이,부족인원,수용률,판단
경상남도 통합창원시,경상남도,통합창원시,551157.0,33235.83,0.0,0.0,0.0,0.06030192848861577,6.03,-33235.83,33235.83,0.0,부족
경기도 성남시,경기도,성남시,451108.0,29112.31,231.0,8505.0,7813.0,0.06453512240971121,6.45,-20607.31,20607.31,0.29,부족
경기도 용인시,경기도,용인시,479315.0,32800.020000000004,325.0,13850.0,11317.0,0.0684310317849431,6.84,-18950.020000000004,18950.020000000004,0.42,부족
경기도 수원시,경기도,수원시,497193.0,30315.63,336.0,12961.0,11223.0,0.06097356559726304,6.1,-17354.63,17354.63,0.43,부족
경기도 고양시,경기도,고양시,529669.0,35272.95,498.0,18082.0,16024.0,0.06659432589032017,6.66,-17190.949999999997,17190.949999999997,0.51,부족
충청북도 청주시,충청북도,청주시,404956.0,26354.05,324.0,12809.0,11014.0,0.0650787986843015,6.51,-13545.05,13545.05,0.49,부족
경기도 안양시,경기도,안양시,278817.0,17125.0,179.0,7069.0,6551.0,0.06142021469279133,6.14,-10056.0,10056.0,0.41,부족
충청남도 천안시,충청남도,천안시,271606.0,17053.87,221.0,8063.0,7029.0,0.06278900318844208,6.28,-8990.869999999999,8990.869999999999,0.47,부족
전북특별자치도 전주시,전북특별자치도,전주시,325193.0,21975.45,284.0,13115.0,11433.0,0.06757663910354775,6.76,-8860.45,8860.45,0.6,부족
경기도 안산시,경기도,안산시,291285.0,17098.07,281.0,8462.0,7307.0,0.058698765813550303,5.87,-8636.07,8636.07,0.49,부족
경기도 원미구,경기도,원미구,101261.5,5869.87,0.0,0.0,0.0,0.05796744073512638,5.8,-5869.87,5869.87,0.0,부족
서울특별시 송파구,서울특별시,송파구,156969.0,9617.96,130.0,4016.0,3889.0,0.061272990208257674,6.13,-5601.959999999999,5601.959999999999,0.42,부족
