지역,시도,시군구,치매환자수,기관수,총정원,총현원,정원차이,부족인원,판단,정원대비비율
경상남도 통합창원시,경상남도,통합창원시,33235.83,0.0,0.0,0.0,-33235.83,33235.83,부족,0.0
경기도 성남시,경기도,성남시,29112.31,231.0,4244.0,7813.0,-24868.31,24868.31,부족,0.15
경기도 용인시,경기도,용인시,32800.020000000004,325.0,9635.0,11317.0,-23165.020000000004,23165.020000000004,부족,0.29
경기도 고양시,경기도,고양시,35272.95,498.0,12381.0,16024.0,-22891.949999999997,22891.949999999997,부족,0.35
경기도 수원시,경기도,수원시,30315.63,336.0,8135.0,11223.0,-22180.63,22180.63,부족,0.27
충청북도 청주시,충청북도,청주시,26354.05,324.0,9038.0,11014.0,-17316.05,17316.05,부족,0.34
전북특별자치도 전주시,전북특별자치도,전주시,21975.45,284.0,6622.0,11433.0,-15353.45,15353.45,부족,0.3
경기도 안양시,경기도,안양시,17125.0,179.0,3424.0,6551.0,-13701.0,13701.0,부족,0.2
충청남도 천안시,충청남도,천안시,17053.87,221.0,5575.0,7029.0,-11478.869999999999,11478.869999999999,부족,0.33
경기도 안산시,경기도,안산시,17098.07,281.0,5977.0,7307.0,-11121.07,11121.07,부족,0.35
경상북도 경주시,경상북도,경주시,6545.8,122.0,2536.0,5335.0,-4009.8,4009.8,부족,0.39
제주특별자치도 제주시,제주특별자치도,제주시,8287.36,157.0,4331.0,5738.0,-3956.3600000000006,3956.3600000000006,부족,0.52
경상남도 진주시,경상남도,진주시,6654.3,192.0,3084.0,7361.0,-3570.3,3570.3,부족,0.46
경기도 광명시,경기도,광명시,4357.04,69.0,1158.0,2170.0,-3199.04,3199.04,부족,0.27
경기도 평택시,경기도,평택시,7735.030000000001,176.0,4761.0,6697.0,-2974.0300000000007,2974.0300000000007,부족,0.62
경상북도 안동시,경상북도,안동시,4465.08,65.0,1600.0,3348.0,-2865.08,2865.08,부족,0.36
경기도 광주시,경기도,광주시,5915.4800000000005,120.0,3279.0,4533.0,-2636.4800000000005,2636.4800000000005,부족,0.55
경기도 하남시,경기도,하남시,4302.82,89.0,1795.0,3974.0,-2507.8199999999997,2507.8199999999997,부족,0.42
경기도 남양주시,경기도,남양주시,11692.210000000001,376.0,9269.0,11461.0,-2423.210000000001,2423.210000000001,부족,0.79
강원특별자치도 원주시,강원특별자치도,원주시,6465.72,154.0,4066.0,6240.0,-2399.7200000000003,2399.7200000000003,부족,0.63
제주특별자치도 서귀포시,제주특별자치도,서귀포시,4194.74,56.0,1877.0,2248.0,-2317.74,2317.74,부족,0.45
전라남도 목포시,전라남도,목포시,4119.56,107.0,1846.0,2996.0,-2273.5600000000004,2273.5600000000004,부족,0.45
강원특별자치도 춘천시,강원특별자치도,춘천시,5984.2,172.0,3723.0,5290.0,-2261.2,2261.2,부족,0.62
충청남도 아산시,충청남도,아산시,5064.47,119.0,2862.0,3658.0,-2202.4700000000003,2202.4700000000003,부족,0.57
충청북도 충주시,충청북도,충주시,4901.7699999999995,126.0,2740.0,3588.0,-2161.7699999999995,2161.7699999999995,부족,0.56
경상남도 김해시,경상남도,김해시,7118.58,176.0,4960.0,5298.0,-2158.58,2158.58,부족,0.7
전라남도 순천시,전라남도,순천시,5233.45,126.0,3150.0,3889.0,-2083.45,2083.45,부족,0.6
경상남도 밀양시,경상남도,밀양시,3396.54,73.0,1374.0,2590.0,-2022.54,2022.54,부족,0.4
강원특별자치도 강릉시,강원특별자치도,강릉시,5210.09,161.0,3203.0,4983.0,-2007.0900000000001,2007.0900000000001,부족,0.61
경기도 부천시,경기도,부천시,12475.43,371.0,10508.0,10403.0,-1967.4300000000003,1967.4300000000003,부족,0.84
경상북도 영주시,경상북도,영주시,3170.32,55.0,1260.0,1557.0,-1910.3200000000002,1910.3200000000002,부족,0.4
전라남도 해남군,전라남도,해남군,2579.93,50.0,676.0,1915.0,-1903.9299999999998,1903.9299999999998,부족,0.26
전북특별자치도 군산시,전북특별자치도,군산시,5620.82,164.0,3726.0,4847.0,-1894.8199999999997,1894.8199999999997,부족,0.66
경기도 화성시,경기도,화성시,9396.220000000001,252.0,7516.0,7868.0,-1880.2200000000012,1880.2200000000012,부족,0.8
전북특별자치도 익산시,전북특별자치도,익산시,6322.2,185.0,4449.0,6871.0,-1873.1999999999998,1873.1999999999998,부족,0.7
경기도 이천시,경기도,이천시,3643.62,83.0,1772.0,2738.0,-1871.62,1871.62,부족,0.49
경기도 양평군,경기도,양평군,3623.42,89.0,1809.0,2785.0,-1814.42,1814.42,부족,0.5
경기도 의정부시,경기도,의정부시,8008.2,275.0,6225.0,9079.0,-1783.1999999999998,1783.1999999999998,부족,0.78
울산광역시 울주군,울산광역시,울주군,3866.88,94.0,2131.0,2921.0,-1735.88,1735.88,부족,0.55
전북특별자치도 정읍시,전북특별자치도,정읍시,3553.61,110.0,1827.0,4493.0,-1726.6100000000001,1726.6100000000001,부족,0.51
전북특별자치도 김제시,전북특별자치도,김제시,3129.93,70.0,1416.0,2764.0,-1713.9299999999998,1713.9299999999998,부족,0.45
경상남도 통영시,경상남도,통영시,2749.94,38.0,1047.0,1755.0,-1702.94,1702.94,부족,0.38
충청남도 공주시,충청남도,공주시,3215.8900000000003,78.0,1564.0,2608.0,-1651.8900000000003,1651.8900000000003,부족,0.49
경기도 여주시,경기도,여주시,2873.21,55.0,1223.0,1552.0,-1650.21,1650.21,부족,0.43
경상북도 의성군,경상북도,의성군,2508.44,46.0,865.0,1469.0,-1643.44,1643.44,부족,0.34
경기도 구리시,경기도,구리시,2930.72,68.0,1292.0,2694.0,-1638.7199999999998,1638.7199999999998,부족,0.44
충청남도 서산시,충청남도,서산시,3944.75,97.0,2318.0,4734.0,-1626.75,1626.75,부족,0.59
경상북도 상주시,경상북도,상주시,3599.44,86.0,1990.0,3351.0,-1609.44,1609.44,부족,0.55
경상북도 영천시,경상북도,영천시,3297.27,94.0,1710.0,2899.0,-1587.27,1587.27,부족,0.52
충청북도 제천시,충청북도,제천시,3322.6899999999996,96.0,1764.0,2415.0,-1558.6899999999996,1558.6899999999996,부족,0.53
충청남도 당진시,충청남도,당진시,3744.27,84.0,2224.0,3281.0,-1520.27,1520.27,부족,0.59
경상북도 김천시,경상북도,김천시,3759.46,107.0,2242.0,2621.0,-1517.46,1517.46,부족,0.6
충청남도 보령시,충청남도,보령시,2969.42,62.0,1460.0,2146.0,-1509.42,1509.42,부족,0.49
전라남도 나주시,전라남도,나주시,3063.52,91.0,1560.0,3176.0,-1503.52,1503.52,부족,0.51
충청남도 홍성군,충청남도,홍성군,2828.14,61.0,1354.0,2209.0,-1474.1399999999999,1474.1399999999999,부족,0.48
경상남도 거제시,경상남도,거제시,3157.41,53.0,1696.0,1875.0,-1461.4099999999999,1461.4099999999999,부족,0.54
경상북도 예천군,경상북도,예천군,2001.64,36.0,575.0,1384.0,-1426.64,1426.64,부족,0.29
경기도 파주시,경기도,파주시,7962.129999999999,256.0,6539.0,6994.0,-1423.1299999999992,1423.1299999999992,부족,0.82
전라남도 고흥군,전라남도,고흥군,3126.19,49.0,1705.0,2611.0,-1421.19,1421.19,부족,0.55
전라남도 신안군,전라남도,신안군,1681.5,25.0,263.0,1057.0,-1418.5,1418.5,부족,0.16
경상남도 창녕군,경상남도,창녕군,2204.61,42.0,796.0,1989.0,-1408.6100000000001,1408.6100000000001,부족,0.36
전북특별자치도 남원시,전북특별자치도,남원시,2700.65,59.0,1322.0,3302.0,-1378.65,1378.65,부족,0.49
충청남도 태안군,충청남도,태안군,2271.66,37.0,920.0,1562.0,-1351.6599999999999,1351.6599999999999,부족,0.4
대구광역시 달성군,대구광역시,달성군,3811.87,87.0,2463.0,2760.0,-1348.87,1348.87,부족,0.65
경기도 의왕시,경기도,의왕시,2490.09,47.0,1185.0,1399.0,-1305.0900000000001,1305.0900000000001,부족,0.48
강원특별자치도 홍천군,강원특별자치도,홍천군,2163.49,36.0,859.0,990.0,-1304.4899999999998,1304.4899999999998,부족,0.4
강원특별자치도 삼척시,강원특별자치도,삼척시,1893.94,34.0,623.0,1161.0,-1270.94,1270.94,부족,0.33
강원특별자치도 동해시,강원특별자치도,동해시,2050.37,37.0,825.0,1758.0,-1225.37,1225.37,부족,0.4
경상남도 남해군,경상남도,남해군,1953.4,30.0,729.0,2715.0,-1224.4,1224.4,부족,0.37
전라남도 무안군,전라남도,무안군,2012.3200000000002,40.0,791.0,1139.0,-1221.3200000000002,1221.3200000000002,부족,0.39
충청남도 서천군,충청남도,서천군,2208.11,51.0,1027.0,2033.0,-1181.1100000000001,1181.1100000000001,부족,0.47
경상북도 울진군,경상북도,울진군,1641.17,22.0,471.0,1523.0,-1170.17,1170.17,부족,0.29
충청남도 부여군,충청남도,부여군,2632.94,50.0,1473.0,2406.0,-1159.94,1159.94,부족,0.56
경상남도 함안군,경상남도,함안군,1889.35,55.0,747.0,1123.0,-1142.35,1142.35,부족,0.4
경상남도 합천군,경상남도,합천군,2047.2200000000003,24.0,910.0,1297.0,-1137.2200000000003,1137.2200000000003,부족,0.44
전북특별자치도 고창군,전북특별자치도,고창군,2261.15,41.0,1159.0,2281.0,-1102.15,1102.15,부족,0.51
전라남도 화순군,전라남도,화순군,2064.35,48.0,991.0,1501.0,-1073.35,1073.35,부족,0.48
전라남도 보성군,전라남도,보성군,1880.79,29.0,808.0,1210.0,-1072.79,1072.79,부족,0.43
경상남도 고성군,경상남도,고성군,1880.24,36.0,825.0,1363.0,-1055.24,1055.24,부족,0.44
경기도 과천시,경기도,과천시,1162.45,12.0,137.0,294.0,-1025.45,1025.45,부족,0.12
전라남도 담양군,전라남도,담양군,1721.7,38.0,709.0,1321.0,-1012.7,1012.7,부족,0.41
강원특별자치도 평창군,강원특별자치도,평창군,1350.76,21.0,342.0,624.0,-1008.76,1008.76,부족,0.25
전라남도 영광군,전라남도,영광군,1795.58,38.0,805.0,1181.0,-990.5799999999999,990.5799999999999,부족,0.45
경상북도 봉화군,경상북도,봉화군,1346.23,13.0,363.0,770.0,-983.23,983.23,부족,0.27
